Date,Estimated_PPF(umol/m^2*s^1)
2021-01-01,515.5
2021-01-02,517.9
2021-01-03,520.5
2021-01-04,522.8
2021-01-05,525.7
2021-01-06,529.1
2021-01-07,532.2
2021-01-08,535.7
2021-01-09,540.1
2021-01-10,544.2
2021-01-11,548.6
2021-01-12,553.3
2021-01-13,558.3
2021-01-14,563.5
2021-01-15,568.9
2021-01-16,574.6
2021-01-17,580.2
2021-01-18,586.3
2021-01-19,592.8
2021-01-20,599.0
2021-01-21,605.6
2021-01-22,612.7
2021-01-23,620.3
2021-01-24,627.3
2021-01-25,635.1
2021-01-26,642.6
2021-01-27,650.5
2021-01-28,658.6
2021-01-29,666.6
2021-01-30,674.0
2021-01-31,682.4
2021-02-01,691.3
2021-02-02,700.1
2021-02-03,709.0
2021-02-04,718.4
2021-02-05,727.3
2021-02-06,736.7
2021-02-07,746.4
2021-02-08,755.8
2021-02-09,765.4
2021-02-10,775.1
2021-02-11,785.0
2021-02-12,795.1
2021-02-13,805.1
2021-02-14,814.6
2021-02-15,824.6
2021-02-16,835.4
2021-02-17,845.9
2021-02-18,855.9
2021-02-19,788.0
2021-02-20,798.4545454545455
2021-02-21,808.6363636363636
2021-02-22,818.0
2021-02-23,828.0909090909091
2021-02-24,838.8181818181819
2021-02-25,849.4545454545455
2021-02-26,859.2727272727273
2021-02-27,869.4545454545455
2021-02-28,879.8181818181819
2021-03-01,890.5454545454545
2021-03-02,901.0
2021-03-03,910.7272727272727
2021-03-04,921.1818181818181
2021-03-05,931.7272727272727
2021-03-06,942.2727272727273
2021-03-07,874.0
2021-03-08,882.9166666666666
2021-03-09,893.0833333333334
2021-03-10,903.25
2021-03-11,912.9166666666666
2021-03-12,923.1666666666666
2021-03-13,932.5833333333334
2021-03-14,942.8333333333334
2021-03-15,952.5833333333334
2021-03-16,962.75
2021-03-17,973.0833333333334
2021-03-18,983.0833333333334
2021-03-19,993.0
2021-03-20,1003.1666666666666
2021-03-21,1013.4166666666666
2021-03-22,1023.9166666666666
2021-03-23,1034.0
2021-03-24,1044.1666666666667
2021-03-25,1054.25
2021-03-26,1063.75
2021-03-27,1073.5833333333333
2021-03-28,1082.75
2021-03-29,1092.75
2021-03-30,1102.5
2021-03-31,1111.5833333333333
2021-04-01,1120.75
2021-04-02,1129.75
2021-04-03,1139.0
2021-04-04,1146.75
2021-04-05,1156.0
2021-04-06,1164.8333333333333
2021-04-07,1172.3333333333333
2021-04-08,1180.6666666666667
2021-04-09,1189.3333333333333
2021-04-10,1197.3333333333333
2021-04-11,1204.25
2021-04-12,1119.2307692307693
2021-04-13,1126.6153846153845
2021-04-14,1134.1538461538462
2021-04-15,1059.642857142857
2021-04-16,1066.7857142857142
2021-04-17,1072.5
2021-04-18,1078.5
2021-04-19,1085.142857142857
2021-04-20,1090.642857142857
2021-04-21,1096.5
2021-04-22,1102.857142857143
2021-04-23,1109.142857142857
2021-04-24,1115.2142857142858
2021-04-25,1121.4285714285713
2021-04-26,1127.4285714285713
2021-04-27,1133.0
2021-04-28,1138.5714285714287
2021-04-29,1145.2142857142858
2021-04-30,1151.5714285714287
2021-05-01,1157.2142857142858
2021-05-02,1162.857142857143
2021-05-03,1167.857142857143
2021-05-04,1172.642857142857
2021-05-05,1178.5714285714287
2021-05-06,1183.642857142857
2021-05-07,1188.5714285714287
2021-05-08,1192.4285714285713
2021-05-09,1197.857142857143
2021-05-10,1202.5714285714287
2021-05-11,1206.142857142857
2021-05-12,1210.357142857143
2021-05-13,1214.7142857142858
2021-05-14,1218.7142857142858
2021-05-15,1221.357142857143
2021-05-16,1224.7857142857142
2021-05-17,1228.0714285714287
2021-05-18,1232.2142857142858
2021-05-19,1233.9285714285713
2021-05-20,1237.5
2021-05-21,1240.7142857142858
2021-05-22,1243.7857142857142
2021-05-23,1247.2857142857142
2021-05-24,1249.0
2021-05-25,1251.5
2021-05-26,1254.0
2021-05-27,1256.2857142857142
2021-05-28,1258.857142857143
2021-05-29,1261.5
2021-05-30,1263.142857142857
2021-05-31,1264.857142857143
2021-06-01,1266.2857142857142
2021-06-02,1268.142857142857
2021-06-03,1270.357142857143
2021-06-04,1271.7857142857142
2021-06-05,1273.7857142857142
2021-06-06,1275.4285714285713
2021-06-07,1276.7142857142858
2021-06-08,1278.5
2021-06-09,1279.142857142857
2021-06-10,1280.9285714285713
2021-06-11,1282.0
2021-06-12,1283.5714285714287
2021-06-13,1284.2142857142858
2021-06-14,1285.142857142857
2021-06-15,1285.4285714285713
2021-06-16,1286.5714285714287
2021-06-17,1287.2857142857142
2021-06-18,1286.7857142857142
2021-06-19,1287.2857142857142
2021-06-20,1287.357142857143
2021-06-21,1287.2142857142858
2021-06-22,1287.5
2021-06-23,1286.4285714285713
2021-06-24,1285.7857142857142
2021-06-25,1285.2142857142858
2021-06-26,1284.7857142857142
2021-06-27,1283.5714285714287
2021-06-28,1283.142857142857
2021-06-29,1282.0
2021-06-30,1280.642857142857
2021-07-01,1278.642857142857
2021-07-02,1277.0714285714287
2021-07-03,1275.2857142857142
2021-07-04,1273.142857142857
2021-07-05,1271.5
2021-07-06,1269.357142857143
2021-07-07,1267.357142857143
2021-07-08,1265.2142857142858
2021-07-09,1263.2142857142858
2021-07-10,1260.857142857143
2021-07-11,1258.0714285714287
2021-07-12,1255.7857142857142
2021-07-13,1252.357142857143
2021-07-14,1249.5
2021-07-15,1246.5714285714287
2021-07-16,1243.5714285714287
2021-07-17,1240.5
2021-07-18,1236.7857142857142
2021-07-19,1233.642857142857
2021-07-20,1230.142857142857
2021-07-21,1226.4285714285713
2021-07-22,1222.857142857143
2021-07-23,1219.142857142857
2021-07-24,1215.0
2021-07-25,1211.2142857142858
2021-07-26,1207.142857142857
2021-07-27,1202.7142857142858
2021-07-28,1198.857142857143
2021-07-29,1195.2857142857142
2021-07-30,1191.5714285714287
2021-07-31,1188.0
2021-08-01,1184.2142857142858
2021-08-02,1180.357142857143
2021-08-03,1176.2142857142858
2021-08-04,1171.5
2021-08-05,1167.5
2021-08-06,1163.0714285714287
2021-08-07,1157.9285714285713
2021-08-08,1152.7142857142858
2021-08-09,1147.2857142857142
2021-08-10,1142.2142857142858
2021-08-11,1136.9285714285713
2021-08-12,1131.357142857143
2021-08-13,1125.5714285714287
2021-08-14,1119.857142857143
2021-08-15,1114.0
2021-08-16,1108.0
2021-08-17,1101.5714285714287
2021-08-18,1095.7142857142858
2021-08-19,1090.0714285714287
2021-08-20,1083.857142857143
2021-08-21,1078.0
2021-08-22,1072.357142857143
2021-08-23,1066.857142857143
2021-08-24,1060.9285714285713
2021-08-25,1055.0714285714287
2021-08-26,1048.5714285714287
2021-08-27,1042.142857142857
2021-08-28,1036.5
2021-08-29,1030.142857142857
2021-08-30,1023.7857142857143
2021-08-31,1095.6153846153845
2021-09-01,1088.2307692307693
2021-09-02,1081.6153846153845
2021-09-03,1074.6923076923076
2021-09-04,1156.25
2021-09-05,1148.25
2021-09-06,1140.9166666666667
2021-09-07,1132.3333333333333
2021-09-08,1125.0
2021-09-09,1117.0
2021-09-10,1109.0
2021-09-11,1100.5833333333333
2021-09-12,1092.1666666666667
2021-09-13,1084.5833333333333
2021-09-14,1075.5833333333333
2021-09-15,1067.3333333333333
2021-09-16,1058.75
2021-09-17,1050.5833333333333
2021-09-18,1042.0833333333333
2021-09-19,1033.0833333333333
2021-09-20,1024.25
2021-09-21,1014.8333333333334
2021-09-22,1005.75
2021-09-23,995.9166666666666
2021-09-24,986.5833333333334
2021-09-25,976.5833333333334
2021-09-26,968.1666666666666
2021-09-27,958.0
2021-09-28,948.75
2021-09-29,939.25
2021-09-30,930.75
2021-10-01,921.1666666666666
2021-10-02,911.25
2021-10-03,902.25
2021-10-04,894.1666666666666
2021-10-05,884.0833333333334
2021-10-06,954.8181818181819
2021-10-07,945.5454545454545
2021-10-08,934.5454545454545
2021-10-09,924.4545454545455
2021-10-10,915.3636363636364
2021-10-11,905.2727272727273
2021-10-12,894.6363636363636
2021-10-13,885.0909090909091
2021-10-14,875.2727272727273
2021-10-15,865.9090909090909
2021-10-16,855.0909090909091
2021-10-17,844.5454545454545
2021-10-18,835.1818181818181
2021-10-19,825.5454545454545
2021-10-20,815.0
2021-10-21,804.6363636363636
2021-10-22,794.6363636363636
2021-10-23,785.2727272727273
2021-10-24,775.5454545454545
2021-10-25,765.9090909090909
2021-10-26,757.1818181818181
2021-10-27,747.4545454545455
2021-10-28,738.0
2021-10-29,729.3636363636364
2021-10-30,719.6363636363636
2021-10-31,781.8
2021-11-01,772.2
2021-11-02,763.1
2021-11-03,753.0
2021-11-04,743.8
2021-11-05,735.1
2021-11-06,725.9
2021-11-07,717.0
2021-11-08,708.3
2021-11-09,699.8
2021-11-10,691.6
2021-11-11,683.6
2021-11-12,675.3
2021-11-13,666.9
2021-11-14,659.3
2021-11-15,652.2
2021-11-16,644.9
2021-11-17,638.2
2021-11-18,631.5
2021-11-19,624.5
2021-11-20,618.4
2021-11-21,611.7
2021-11-22,605.4
2021-11-23,665.5555555555555
2021-11-24,659.2222222222222
2021-11-25,652.1111111111111
2021-11-26,646.1111111111111
2021-11-27,640.2222222222222
2021-11-28,634.0
2021-11-29,627.5555555555555
2021-11-30,621.6666666666666
2021-12-01,615.6666666666666
2021-12-02,610.7777777777778
2021-12-03,605.8888888888889
2021-12-04,601.3333333333334
2021-12-05,596.7777777777778
2021-12-06,592.3333333333334
2021-12-07,588.3333333333334
2021-12-08,584.5555555555555
2021-12-09,580.8888888888889
2021-12-10,577.7777777777778
2021-12-11,575.1111111111111
2021-12-12,572.4444444444445
2021-12-13,570.1111111111111
2021-12-14,568.1111111111111
2021-12-15,566.7777777777778
2021-12-16,565.4444444444445
2021-12-17,564.3333333333334
2021-12-18,563.0
2021-12-19,562.4444444444445
2021-12-20,562.1111111111111
2021-12-21,561.6666666666666
2021-12-22,561.1111111111111
2021-12-23,561.2222222222222
2021-12-24,561.3333333333334
2021-12-25,561.8888888888889
2021-12-26,562.5555555555555
2021-12-27,507.4
2021-12-28,508.4
2021-12-29,509.7
2021-12-30,511.5
2021-12-31,513.0
